NSE,,BSE,NSE.SYMBOL,BSE.SYMBOL
SBC Exports Limited,,Mirza International Ltd,SBC,526642
Shivalik Bimetal Controls Limited,,Tourism Finance Corporation of India Ltd,SBCL,526650
SBFC Finance Limited,,Thakkers Developers Ltd,SBFC,526654
Suratwwala Business Group Limited,,Rajdarshan Industries Ltd,SBGLP,526662
SBI Cards and Payment Services Limited,,Bhartiya International Ltd,SBICARD,526666
SBI Life Insurance Company Limited,,Kamat Hotels (India) Ltd,SBILIFE,526668
State Bank of India,,DSJ keep Learning Ltd,SBIN,526677
Schaeffler India Limited,,Ecoplast Ltd,SCHAEFFLER,526703
S Chand And Company Limited,,Elegant Marbles & Grani Industries Ltd,SCHAND,526705
Schneider Electric Infrastructure Limited,,Bits Ltd,SCHNEIDER,526709
Shipping Corporation Of India Limited,,Adarsh Plant Protect Ltd,SCI,526711
Shipping Corporation of India Land and Assets Limited,,HCP Plastene Bulkpack Ltd,SCILAL,526717
Sheetal Cool Products Limited,,Nicco Parks & Resorts Ltd,SCPL,526721
Som Distilleries & Breweries Limited,,NTC Industries Ltd,SDBL,526723
Seamec Limited,,Sandesh Ltd,SEAMECLTD,526725
SecMark Consultancy Limited,,Garnet Construction Ltd,SECMARK,526727
SECUREKLOUD TECHNOLOGIES LIMITED,,Goldiam International Ltd,SECURKLOUD,526729
Sejal Glass Limited,,Bright Brothers Ltd,SEJALLTD,526731
Selan Exploration Technology Limited,,Narmada Gelatines Ltd,SELAN,526739
SEL Manufacturing Company Limited,,PG Foils Ltd,SELMC,526747
SEMAC CONSULTANTS LIMITED,,Gratex Industries Ltd,SEMAC,526751
Senco Gold Limited,,Velan Hotels Ltd,SENCO,526755
Senores Pharmaceuticals Limited,,Howard Hotels Ltd,SENORES,526761
SEPC Limited,,Pressure Sensitive Systems India Ltd,SEPC,526773
Sequent Scientific Limited,,Valiant Communications Ltd,SEQUENT,526775
Servotech Renewable Power System Limited,,Dr Agarwals Eye Hospital Ltd,SERVOTECH,526783
Seshasayee Paper and Boards Limited,,Mahasagar Travels Ltd,SESHAPAPER,526795
Setco Automotive Limited,,Greenply Industries Ltd,SETCO,526797
Setubandhan Infrastructure Limited,,Seamec Ltd,SETUINFRA,526807
Sheela Foam Limited,,Raghunath International Ltd,SFL,526813
Synergy Green Industries Limited,,Cheviot Company Ltd,SGIL,526817
STL Global Limited,,Dai-Ichi Karkaria Ltd,SGL,526821
Standard Glass Lining Technology Limited,,Rajeswari Infrastructure Ltd,SGLTL,526823
Shah Metacorp Limited,,Spice Islands Industries Ltd,SHAH,526827
Shah Alloys Limited,,Confidence Petroleum India Ltd,SHAHALLOYS,526829
Shaily Engineering Plastics Limited,,Shelter Infra Projects Ltd,SHAILY,526839
Shakti Pumps (India) Limited,,Shakti Press Ltd,SHAKTIPUMP,526841
Shalby Limited,,Ashirwad Steels & Industries Ltd,SHALBY,526847
Shalimar Paints Limited,,Banaras Beads Ltd,SHALPAINTS,526849
Shankara Building Products Limited,,Arex Industries Ltd,SHANKARA,526851
Shanti Overseas (India) Limited,,Bilcare Ltd,SHANTI,526853
Shanthi Gears Limited,,ISF Ltd,SHANTIGEAR,526859
Sharda Cropchem Limited,,Rishi Laser Ltd,SHARDACROP,526861
Sharda Motor Industries Limited,,Jainco Projects India Ltd,SHARDAMOTR,526865
Share India Securities Limited,,Intec Capital Ltd,SHAREINDIA,526871
Shekhawati Industries Limited,,Rajasthan Gases Ltd,SHEKHAWATI,526873
Shemaroo Entertainment Limited,,Siddheswari Garments Ltd,SHEMAROO,526877
Shilpa Medicare Limited,,63 Moons Technologies Ltd,SHILPAMED,526881
Shivalik Rasayan Limited,,Shikhar Consultants Ltd,SHIVALIK,526883
Shivam Autotech Limited,,Sarla Performance Fibers Ltd,SHIVAMAUTO,526885
Shiva Mills Limited,,Market Creators Ltd,SHIVAMILLS,526891
Shiva Texyarn Limited,,Himalaya Food International Ltd,SHIVATEX,526899
S H Kelkar and Company Limited,,Sonal Adhesives Ltd,SHK,526901
Shoppers Stop Limited,,Padmanabh Industries Ltd,SHOPERSTOP,526905
Shradha Infraprojects Limited,,Twentyfirst Century Management Services Ltd,SHRADHA,526921
Shree Digvijay Cement Co.Ltd,,Hariyana Ship Breakers Ltd,SHREDIGCEM,526931
SHREE CEMENT LIMITED,,Arunis Abode Ltd,SHREECEM,526935
Shree Pushkar Chemicals & Fertilisers Limited,,Tyroon Tea Company Ltd,SHREEPUSHK,526945
Shree Rama Multi-Tech Limited,,La Opala RG Ltd,SHREERAMA,526947
Shrenik Limited,,Stylam Industries Ltd,SHRENIK,526951
Shreyans Industries Limited,,Venus Remedies Ltd,SHREYANIND,526953
Shriram Pistons & Rings Limited,,Last Mile Enterprises Ltd,SHRIPISTON,526961
Shriram Finance Limited,,Gujarat Craft Industries Ltd,SHRIRAMFIN,526965
Shriram Properties Limited,,Heera Ispat Ltd,SHRIRAMPPS,526967
Shyam Century Ferrous Limited,,Dhoot Industrial Finance Ltd,SHYAMCENT,526971
Shyam Metalics and Energy Limited,,Crimson Metal Engineering Company Ltd,SHYAMMETL,526977
Shyam Telecom Limited,,Shri Bajrang Alliance Ltd,SHYAMTEL,526981
Siemens Limited,,Urja Global Ltd,SIEMENS,526987
Sigachi Industries Limited,,Ashapura Minechem Ltd,SIGACHI,527001
Signet Industries Limited,,Shree Pacetronix Ltd,SIGIND,527005
Sigma Solve Limited,,Gujarat Alkalies and Chemicals Ltd,SIGMA,530001
Signatureglobal (India) Limited,,India Cements Ltd,SIGNATURE,530005
Signpost India Limited,,JK Tyre & Industries Ltd,SIGNPOST,530007
Sikko Industries Limited,,Mangalore Chemicals & Fertilizers Ltd,SIKKO,530011
Standard Industries Limited,,Standard Industries Ltd,SIL,530017
Silgo Retail Limited,,Jubilant Pharmova Ltd,SILGO,530019
SIL Investments Limited,,The Investment Trust Of India Ltd,SILINV,530023
Silly Monks Entertainment Limited,,Samyak International Ltd,SILLYMONKS,530025
Silver Touch Technologies Limited,,Aadi Industries Ltd,SILVERTUC,530027
Simbhaoli Sugars Limited,,Sree Jayalakshmi Auto Spin Ltd,SIMBHALS,530037
Simplex Infrastructures Limited,,Acknit Industries Ltd,SIMPLEXINF,530043
Sinclairs Hotels Limited,,Titan Securities Ltd,SINCLAIR,530045
Sindhu Trade Links Limited,,Real Eco-Energy Ltd,SINDHUTRAD,530053
Sintercom India Limited,,Harmony Capital Service Ltd,SINTERCOM,530055
Sirca Paints India Limited,,Vivanza Biosciences Ltd,SIRCA,530057
SIS LIMITED,,Yashraj Containeurs Ltd,SIS,530063
Siti Networks Limited,,Lords Ishwar Hotels Ltd,SITINET,530065
Siyaram Silk Mills Limited,,CSL Finance Ltd,SIYSIL,530067
S.J.S. Enterprises Limited,,Sanghvi Movers Ltd,SJS,530073
SJVN Limited,,Selan Exploration Technology Ltd,SJVN,530075
SKF India Limited,,Puretrop Fruits  Ltd,SKFINDIA,530077
Skipper Limited,,Faze Three Ltd,SKIPPER,530079
SKM Egg Products Export (India) Limited,,Pradhin Ltd,SKMEGGPROD,530095
SKY GOLD AND DIAMONDS LIMITED,,Anupam Finserv Ltd,SKYGOLD,530109
Smartlink Holdings Limited,,Raj Packaging Industries Ltd,SMARTLINK,530111
SMC Global Securities Limited,,Privi Speciality Chemicals Ltd,SMCGLOBAL,530117
SML Isuzu Limited,,Natraj Proteins Ltd,SMLISUZU,530119
Sarthak Metals Limited,,Samrat Pharmachem Ltd,SMLT,530125
SMS Lifesciences India Limited,,NPR Finance Ltd,SMSLIFE,530127
SMS Pharmaceuticals Limited,,Nile Ltd,SMSPHARMA,530129
Snowman Logistics Limited,,Udaipur Cement Works Ltd,SNOWMAN,530131
Sobha Limited,,Amco India Ltd,SOBHA,530133
Softtech Engineers Limited,,Optiemus Infracom Ltd,SOFTTECH,530135
Solara Active Pharma Sciences Limited,,Kreon Finnancial Services Ltd,SOLARA,530139
Solar Industries India Limited,,Gyan Developers & Builders Ltd,SOLARINDS,530141
Somany Ceramics Limited,,Kisan Mouldings Ltd,SOMANYCERA,530145
Soma Textiles & Industries Limited,,Garodia Chemicals Ltd,SOMATEX,530161
Somi Conveyor Beltings Limited,,Kerala Ayurveda Ltd,SOMICONVEY,530163
Sona BLW Precision Forgings Limited,,Moongipa Capital Finance Ltd,SONACOMS,530167
SONAM LIMITED,,Mohit Paper Mills Ltd,SONAMLTD,530169
Sonata Software Limited,,Daulat Securities Ltd,SONATSOFTW,530171
Savita Oil Technologies Limited,,Oscar Global Ltd,SOTL,530173
The South Indian Bank Limited,,Odyssey Technologies Ltd,SOUTHBANK,530175
South West Pinnacle Exploration Limited,,RSC International Ltd,SOUTHWEST,530179
S. P. Apparels Limited,,Surat Trade and Mercantile Ltd,SPAL,530185
Spandana Sphoorty Financial Limited,,Atharv Enterprises Ltd,SPANDANA,530187
Sun Pharma Advanced Research Company Limited,,Fundviser Capital (India) Ltd,SPARC,530197
Spacenet Enterprises India Limited,,Themis Medicare Ltd,SPCENET,530199
Speciality Restaurants Limited,,Kallam Textiles Ltd,SPECIALITY,530201
Spectrum Electrical Industries Limited,,Brawn Biotech Ltd,SPECTRUM,530207
Spencer's Retail Limited,,Fortune International Ltd,SPENCERS,530213
Southern Petrochemicals Industries Corporation  Limited,,Kings Infra Ventures Ltd,SPIC,530215
SPL Industries Limited,,Swojas Foods Ltd,SPLIL,530217
Supreme Petrochem Limited,,Subhash Silk Mills Ltd,SPLPETRO,530231
SPML Infra Limited,,Auro Laboratories Ltd,SPMLINFRA,530233
Sportking India Limited,,KJMC Financial Services Ltd,SPORTKING,530235
Shankar Lal Rampal Dye-Chem Limited,,Suven Life Sciences Ltd,SRD,530239
Sreeleathers Limited,,Aryaman Financial Services Ltd,SREEL,530245
SRF Limited,,Bridge Securities Ltd,SRF,530249
SRG Housing Finance Limited,,Risa International Ltd,SRGHFL,530251
Sree Rayalaseema Hi-Strength Hypo Limited,,Rajasthan Tube Manufacturing Company Ltd,SRHHYPOLTD,530253
SRM Contractors Limited,,Kay Power and Paper Ltd,SRM,530255
Shree Ram Proteins Limited,,Inter State Oil Carrier Ltd,SRPL,530259
Saraswati Saree Depot Limited,,Global Capital Markets Ltd,SSDL,530263
Steel Strips Wheels Limited,,Sainik Finance & Industries Ltd,SSWL,530265
Stallion India Fluorochemicals Limited,,Arigato Universe Ltd,STALLION,530267
Stanley Lifestyles Limited,,Rich Universe Network Ltd,STANLEY,530271
Strides Pharma Science Limited,,Quantum Digital Vision India Ltd,STAR,530281
Star Cement Limited,,SP Capital Financing Ltd,STARCEMENT,530289
Star Health and Allied Insurance Company Limited,,Paos Industries Ltd,STARHEALTH,530291
Star Paper Mills Limited,,Shree Rajiv Lochan Oil Extraction Ltd,STARPAPER,530295
Starteck Finance Limited,,Kothari Products Ltd,STARTECK,530299
The State Trading Corporation of India Limited,,Piccadily Agro Industries Ltd,STCINDIA,530305
Steelcast Limited,,Chaman Lal Setia Exports Ltd,STEELCAS,530307
Steel City Securities Limited,,Chandra Prabhu International Ltd,STEELCITY,530309
STEEL EXCHANGE INDIA LIMITED,,Kimia Biosciences Ltd,STEELXIND,530313
Stel Holdings Limited,,Hindustan Tin Works Ltd,STEL,530315
Sterling Tools Limited,,Godavari Drugs Ltd,STERTOOLS,530317
Sterlite Technologies Limited,,Premco Global Ltd,STLTECH,530331
Stove Kraft Limited,,Mukesh Babu Financial Services Ltd,STOVEKRAFT,530341
Stylam Industries Limited,,Genus Power Infrastructures Ltd,STYLAMIND,530343
Baazar Style Retail Limited,,Asian Energy Services Ltd,STYLEBAAZA,530355
Styrenix Performance Materials Limited,,KBS India Ltd,STYRENIX,530357
Subex Limited,,Prabhhans Industries Ltd,SUBEXLTD,530361
Subros Limited,,Ugar Sugar Works Ltd,SUBROS,530363
Sudarshan Chemical Industries Limited,,Orient Bell Ltd,SUDARSCHEM,530365
Sukhjit Starch & Chemicals Limited,,NRB Bearings Ltd,SUKHJITS,530367
Sula Vineyards Limited,,Vamshi Rubber Ltd,SULA,530369
Sumitomo Chemical India Limited,,Nila Infrastructures Ltd,SUMICHEM,530377
Sumit Woods Limited,,DB International Stock Brokers Ltd,SUMIT,530393
Summit Securities Limited,,Vinyoflex Ltd,SUMMITSEC,530401
Sundaram Clayton Limited,,Jindal Capital Ltd,SUNCLAY,530405
Sundaram Multi Pap Limited,,EPIC Energy Ltd,SUNDARAM,530407
Sundaram Finance Limited,,Sumedha Fiscal Services Ltd,SUNDARMFIN,530419
Sundaram Finance Holdings Limited,,Kuwer Industries Ltd,SUNDARMHLD,530421
Sundaram Brake Linings Limited,,Choksi Asia Ltd,SUNDRMBRAK,530427
Sundram Fasteners Limited,,Ashish Polyplast Ltd,SUNDRMFAST,530429
Sundrop Brands Limited,,Shiva Global Agro Industries Ltd,SUNDROP,530433
Sunflag Iron And Steel Company Limited,,Siddha Ventures Ltd,SUNFLAG,530439
Sun Pharmaceutical Industries Limited,,Kiran Syntex Ltd,SUNPHARMA,530443
Sunteck Realty Limited,,Sumeru Industries Ltd,SUNTECK,530445
Sun TV Network Limited,,Rungta Irrigation Ltd,SUNTV,530449
Superhouse Limited,,GTT Data Solutions Ltd,SUPERHOUSE,530457
Super Spinning Mills Limited,,Valson Industries Ltd,SUPERSPIN,530459
Suprajit Engineering Limited,,Saboo Sodium Chloro Ltd,SUPRAJIT,530461
Supreme Holdings & Hospitality (India) Limited,,GSL Securities Ltd,SUPREME,530469
Supreme Engineering Limited,,Tinna Rubber and Infrastructure Ltd,SUPREMEENG,530475
Supreme Industries Limited,,Vikram Thermo India Ltd,SUPREMEIND,530477
Supreme Infrastructure India Limited,,Stratmont Industries Ltd,SUPREMEINF,530495
Supriya Lifescience Limited,,AK Capital Services Ltd,SUPRIYA,530499
Suraj Estate Developers Limited,,Relaxo Footwears Ltd,SURAJEST,530517
Suraj Limited,,Virat Industries Ltd,SURAJLTD,530521
Suraksha Diagnostic Limited,,Rajnish Retail Ltd,SURAKSHA,530525
Surana Solar Limited,,Terai Tea Company Ltd,SURANASOL,530533
Surana Telecom and Power Limited,,Manraj Housing Finance Ltd,SURANAT&P,530537
Suryalakshmi Cotton Mills Limited,,Cosco India Ltd,SURYALAXMI,530545
Surya Roshni Limited,,Ken Financial Services Ltd,SURYAROSNI,530547
Suryoday Small Finance Bank Limited,,Shilpa Medicare Ltd,SURYODAY,530549
Sutlej Textiles and Industries Limited,,Paramount Communications Ltd,SUTLEJTEX,530555
Suumaya Industries Limited,,NCL Research & Financial Services Ltd,SUULD,530557
Suven Life Sciences Limited,,Popees Cares Ltd,SUVEN,530565
Suvidhaa Infoserve Limited,,Explicit Finance Ltd,SUVIDHAA,530571
Suyog Telematics Limited,,Ladderup Finance Ltd,SUYOG,530577
Suzlon Energy Limited,,U. Y. Fincorp Ltd,SUZLON,530579
Shree Vasu Logistics Limited,,Ekam Leasing & Finance Company Ltd,SVLL,530581
SVP GLOBAL TEXTILES LIMITED,,Swastika Investsmart Ltd,SVPGLOB,530585
Swan Energy Limited,,Prima Plastics Ltd,SWANENERGY,530589
Swaraj Engines Limited,,Jagsonpal Finance & Leasing Ltd,SWARAJENG,530601
Swelect Energy Systems Limited,,Garg Furnace Ltd,SWELECTES,530615
Swiggy Limited,,Sampre Nutritions Ltd,SWIGGY,530617
Sterling and Wilson Renewable Energy Limited,,Akar Auto Industries Ltd,SWSOLAR,530621
Symphony Limited,,Vipul Organics Ltd,SYMPHONY,530627
Syncom Formulations (India) Limited,,Eco Recycling Ltd,SYNCOMF,530643
Syngene International Limited,,Goodluck India Ltd,SYNGENE,530655
Syrma SGS Technology Limited,,Goyal Associates Ltd,SYRMA,530663
Tainwala Chemical and Plastic (I) Limited,,Zenith Healthcare Ltd,TAINWALCHM,530665
Taj GVK Hotels & Resorts Limited,,Ace Engitech Ltd,TAJGVK,530669
Take Solutions Limited,,York Exports Ltd,TAKE,530675
Talbros Automotive Components Limited,,Supreme Holdings & Hospitality (India) Ltd,TALBROAUTO,530677
Tanla Platforms Limited,,Lykis Ltd,TANLA,530689
Tara Chand InfraLogistic Solutions Limited,,Prime Property Development Corporation Ltd,TARACHAND,530695
Tarapur Transformers Limited,,Zenlabs Ethica Ltd,TARAPUR,530697
TARC Limited,,Raj Rayon Industries Ltd,TARC,530699
Transformers And Rectifiers (India) Limited,,Anirit Ventures Ltd,TARIL,530705
Tarmat Limited,,Gowra Leasing & Finance Ltd,TARMAT,530709
Tarsons Products Limited,,Jagan Lamps Ltd,TARSONS,530711
Tasty Bite Eatables Limited,,Alps Industries Ltd,TASTYBITE,530715
Tata Chemicals Limited,,Asit C Mehta Financial Services Ltd,TATACHEM,530723
Tata Communications Limited,,Encode Packaging India Ltd,TATACOMM,530733
TATA CONSUMER PRODUCTS LIMITED,,Super Bakers India Ltd,TATACONSUM,530735
Tata Elxsi Limited,,Ovobel Foods Ltd,TATAELXSI,530741
Tata Investment Corporation Limited,,ACS Technologies Ltd,TATAINVEST,530745
Tata Motors Limited,,Challani Capital Ltd,TATAMOTORS,530747
Tata Power Company Limited,,Coral Newsprints Ltd,TATAPOWER,530755
Tata Steel Limited,,Sterling Tools Ltd,TATASTEEL,530759
Tata Technologies Limited,,Agarwal Fortune India Ltd,TATATECH,530765
Tatva Chintan Pharma Chem Limited,,Dynamic Portfolio Management & Services Ltd,TATVA,530779
TBO Tek Limited,,Inland Printers Ltd,TBOTEK,530787
Tribhovandas Bhimji Zaveri Limited,,Ceejay Finance Ltd,TBZ,530789
Transport Corporation of India Limited,,Suncity Synthetics Ltd,TCI,530795
TCI Express Limited,,Shree Ganesh Elastoplast Ltd,TCIEXP,530797
TCI Finance Limited,,Anna Infrastructures Ltd,TCIFINANCE,530799
TCPL Packaging Limited,,Bhageria Industries Ltd,TCPLPACK,530803
Tata Consultancy Services Limited,,Onesource Industries And Ventures Ltd,TCS,530805
TD Power Systems Limited,,BNR Udyog Ltd,TDPOWERSYS,530809
Teamlease Services Limited,,KRBL Ltd,TEAMLEASE,530813
Tech Mahindra Limited,,SSPDL Ltd,TECHM,530821
Techno Electric & Engineering Company Limited,,Daikaffil Chemicals India Ltd,TECHNOE,530825
Tega Industries Limited,,Cil Securities Ltd,TEGA,530829
Tejas Networks Limited,,Clio Infotech Ltd,TEJASNET,530839
Tembo Global Industries Limited,,Cupid Ltd,TEMBO,530843
Tera Software Limited,,Sunshield Chemicals Ltd,TERASOFT,530845
Texmaco Infrastructure & Holdings Limited,,Hipolin Ltd,TEXINFRA,530853
Texmo Pipes and Products Limited,,GDL Leasing & Finance Ltd,TEXMOPIPES,530855
Texmaco Rail & Engineering Limited,,Chembond Chemicals Ltd,TEXRAIL,530871
Tourism Finance Corporation of India Limited,,Capital India Finance Ltd,TFCILTD,530879
Transwarranty Finance Limited,,Arunjyoti Bio Ventures Ltd,TFL,530881
TGB Banquets And Hotels Limited,,Super Crop Safe Ltd,TGBHOTELS,530883
Thangamayil Jewellery Limited,,NG Industries Ltd,THANGAMAYL,530897
The Investment Trust Of India Limited,,Asia Pack Ltd,THEINVEST,530899
Thejo Engineering Limited,,SI Capital & Financial Services Ltd,THEJO,530907
Themis Medicare Limited,,ERP Soft Systems Ltd,THEMISMED,530909
Thermax Limited,,RR Securities Ltd,THERMAX,530917
Thomas Cook  (India)  Limited,,Remsons Industries Ltd,THOMASCOOK,530919
Thomas Scott (India) Limited,,Integrated Thermoplastics Ltd,THOMASCOTT,530921
Thyrocare Technologies Limited,,Ramsons Projects Ltd,THYROCARE,530925
Tilaknagar Industries Limited,,Haryana Financial Corporation Ltd,TI,530927
Twamev Construction and Infrastructure Limited,,Euro Asia Exports Ltd,TICL,530929
Technocraft Industries (India) Limited,,Stanpacks India Ltd,TIIL,530931
Tube Investments of India Limited,,Sri Adhikari Brothers Television Network Ltd,TIINDIA,530943
Tijaria Polypipes Limited,,Raminfo Ltd,TIJARIA,530951
TIL Limited,,Sunil Agro Foods Ltd,TIL,530953
Times Guaranty Limited,,Diana Tea Company Ltd,TIMESGTY,530959
Time Technoplast Limited,,Vikas EcoTech Ltd,TIMETECHNO,530961
Timken India Limited,,Indian Oil Corporation Ltd,TIMKEN,530965
Tinna Rubber and Infrastructure Limited,,Alfa Ica India Ltd,TINNARUBR,530973
Tips Films Limited,,Shri Keshav Cements And Infra Ltd,TIPSFILMS,530977
Tips Music Limited,,India Home Loan Ltd,TIPSMUSIC,530979
Thirumalai Chemicals Limited,,Roopa Industries Ltd,TIRUMALCHM,530991
Tirupati Forge Limited,,Unique Organics Ltd,TIRUPATIFL,530997
TITAGARH RAIL SYSTEMS LIMITED,,Balaji Amines Ltd,TITAGARH,530999
Titan Company Limited,,Swarna Securities Ltd,TITAN,531003
Tamilnad Mercantile Bank Limited,,Venmax Drugs and Pharmaceuticals Ltd,TMB,531015
Tamilnadu PetroProducts Limited,,Arihants Securities Ltd,TNPETRO,531017
Tamil Nadu Newsprint & Papers Limited,,Visagar Financial Services Ltd,TNPL,531025
Tamilnadu Telecommunication Limited,,Libord Securities Ltd,TNTELE,531027
Tokyo Plast International Limited,,Eraaya Lifespaces Ltd,TOKYOPLAST,531035
Tolins Tyres Limited,,Competent Automobiles Company Ltd,TOLINS,531041
Torrent Pharmaceuticals Limited,,Dhanvantri Jeevan Rekha Ltd,TORNTPHARM,531043
Torrent Power Limited,,Neelkanth Rockminerals Ltd,TORNTPOWER,531049
Total Transport Systems Limited,,Vintage Securities Ltd,TOTAL,531051
Touchwood Entertainment Limited,,Oswal Overseas Ltd,TOUCHWOOD,531065
Teamo Productions HQ Limited,,Contil India Ltd,TPHQ,531067
TPL Plastech Limited,,Vijay Solvex Ltd,TPLPLASTEH,531069
Tracxn Technologies Limited,,Shri Krishna Devcon Ltd,TRACXN,531080
Transrail Lighting Limited,,Alankit Ltd,TRANSRAILL,531082
TRANSWORLD SHIPPING LINES LIMITED,,Nihar Info Global Ltd,TRANSWORLD,531083
Tree House Education & Accessories Limited,,United Credit Ltd,TREEHOUSE,531091
TREJHARA SOLUTIONS LIMITED,,OM Infra Ltd,TREJHARA,531092
Transindia Real Estate Limited,,Checkpoint Trends Ltd,TREL,531099
Trent Limited,,Ishan Dyes and Chemicals Ltd,TRENT,531109
TRF Limited,,Gothi Plascon India Ltd,TRF,531111
Trident Limited,,Balu Forge Industries Ltd,TRIDENT,531112
Trigyn Technologies Limited,,Ceenik Exports India Ltd,TRIGYN,531119
Triveni Turbine Limited,,Patel Engineering Ltd,TRITURBINE,531120
Triveni Engineering & Industries Limited,,Kati Patang Lifestyle Ltd,TRIVENI,531126
TruCap Finance Limited,,Mena Mani Industries Ltd,TRU,531127
TTK Healthcare Limited,,Inani Marbles & Industries Ltd,TTKHLTCARE,531129
TTK Prestige Limited,,Gemstone Investments Ltd,TTKPRESTIG,531137
T T Limited,,El Forge Ltd,TTL,531144
Tata Teleservices (Maharashtra) Limited,,Medicamen Biotech Ltd,TTML,531146
TVS Electronics Limited,,Alicon Castalloy Ltd,TVSELECT,531147
TVS Holdings Limited,,Diligent Industries Ltd,TVSHLTD,531153
TVS Motor Company Limited,,Epsom Properties Ltd,TVSMOTOR,531155
TVS Supply Chain Solutions Limited,,Alfavision Overseas India Ltd,TVSSCS,531156
TVS Srichakra Limited,,Organic Coatings Ltd,TVSSRICHAK,531157
TV Today Network Limited,,Catvision Ltd,TVTODAY,531158
TV Vision Limited,,ABM Knowledgeware Ltd,TVVISION,531161
United Breweries Limited,,Emami Ltd,UBL,531162
UCAL LIMITED,,Kemistar Corporation Ltd,UCAL,531163
UCO Bank,,Associated Ceramics Ltd,UCOBANK,531168
Udaipur Cement Works Limited,,SKP Securities Ltd,UDAICEMENT,531169
Updater Services Limited,,Syschem India Ltd,UDS,531173
UFLEX Limited,,Mefcom Capital Markets Ltd,UFLEX,531176
UFO Moviez India Limited,,Hemang Resources Ltd,UFO,531178
The Ugar Sugar Works Limited,,Arman Financial Services Ltd,UGARSUGAR,531179
Ugro Capital Limited,,Tavernier Resources Ltd,UGROCAP,531190
Ujjivan Small Finance Bank Limited,,Filtron Engineers Ltd,UJJIVANSFB,531191
UltraTech Cement Limited,,Glance Finance Ltd,ULTRACEMCO,531199
Uma Exports Limited,,Shilchar Technologies Ltd,UMAEXPORTS,531201
Umang Dairies Limited,,Tradewell Holdings Ltd,UMANGDAIRY,531203
Usha Martin Education & Solutions Limited,,Spright Agro Ltd,UMESLTD,531205
UMIYA BUILDCON LIMITED,,Nucleus Software Exports Ltd,UMIYA-MRO,531209
Unichem Laboratories Limited,,Colinz Laboratories Ltd,UNICHEMLAB,531210
United Drilling Tools Limited,,Nalin Lease Finance Ltd,UNIDT,531212
Unicommerce Esolutions Limited,,Manappuram Finance Ltd,UNIECOM,531213
Uniphos Enterprises Limited,,RTS Power Corporation Ltd,UNIENTER,531215
Uniinfo Telecom Services Limited,,Comfort Intech Ltd,UNIINFO,531216
Unimech Aerospace and Manufacturing Limited,,Shyama Computronics and Services Ltd,UNIMECH,531219
Union Bank of India,,Mayur Floorings Ltd,UNIONBANK,531221
Uniparts India Limited,,Anjani Synthetics Ltd,UNIPARTS,531223
United Spirits Limited,,Xtglobal Infotech Ltd,UNITDSPR,531225
Unitech Limited,,Deco Mica Ltd,UNITECH,531227
United Polyfab Gujarat Limited,,Rander Corporation Ltd,UNITEDPOLY,531228
The United Nilgiri Tea Estates Company Limited,,Rasi Electrodes Ltd,UNITEDTEA,531233
Univastu India Limited,,Scoobee Day Garments (India) Ltd,UNIVASTU,531234
Universal Cables Limited,,Citi Port Financial Services Ltd,UNIVCABLES,531235
Universus Photo Imagings Limited,,Dhruva Capital Services Ltd,UNIVPHOTO,531237
UNO Minda Limited,,Linc Ltd,UNOMINDA,531241
UPL Limited,,Prima Industries Ltd,UPL,531246
Uravi Defence and Technology Limited,,India Gelatine & Chemicals Ltd,URAVIDEF,531253
Urja Global Limited,,Optimus Finance Ltd,URJA,531254
Usha Martin Limited,,Paragon Finance Ltd,USHAMART,531255
Udayshivakumar Infra Limited,,Pratiksha Chemicals Ltd,USK,531257
UTI Asset Management Company Limited,,Esha Media Research Ltd,UTIAMC,531259
Utkarsh Small Finance Bank Limited,,Refex Renewables & Infrastructure Ltd,UTKARSHBNK,531260
Uttam Sugar Mills Limited,,Equilateral Enterprises Ltd,UTTAMSUGAR,531262
U. Y. Fincorp Limited,,VST Tillers Tractors Ltd,UYFINCORP,531266
V2 Retail Limited,,B2B Software Technologies Ltd,V2RETAIL,531268
Vadilal Industries Limited,,Nikki Global Finance Ltd,VADILALIND,531272
Vaibhav Global Limited,,Radhe Developers India Ltd,VAIBHAVGBL,531273
Vaishali Pharma Limited,,Elixir Capital Ltd,VAISHALI,531278
Vakrangee Limited,,Trishakti Industries Ltd,VAKRANGEE,531279
Valiant Laboratories Limited,,Pankaj Polymers Ltd,VALIANTLAB,531280
Valiant Organics Limited,,Marble City India Ltd,VALIANTORG,531281
Vardhman Acrylics Limited,,Cindrella Financial Services Ltd,VARDHACRLC,531283
Vardhman Polytex Limited,,Adhata Global Ltd,VARDMNPOLY,531286
Varroc Engineering Limited,,National Plastic Technologies Ltd,VARROC,531287
Vascon Engineers Limited,,Lead Financial Services Ltd,VASCONEQ,531288
Vaswani Industries Limited,,National Fittings Ltd,VASWANI,531289
Varun Beverages Limited,,Artefact Projects Ltd,VBL,531297
Vaxtex Cotfab Limited,,Amit International Ltd,VCL,531300
Vedanta Limited,,High Street Filatex Ltd,VEDL,531301
Veedol Corporation Limited,,Nutech Global Ltd,VEEDOL,531304
Venky's (India) Limited,,DHP India Ltd,VENKEYS,531306
Ventive Hospitality Limited,,RRIL Ltd,VENTIVE,531307
Venus Pipes & Tubes Limited,,Available Finance Ltd,VENUSPIPES,531310
Venus Remedies Limited,,Integra Capital  Ltd,VENUSREM,531314
