NSE,,BSE,NSE.SYMBOL,BSE.SYMBOL
Aries Agro Limited,,Century Enka Ltd,ARIES,500280
Arihant Capital Markets Limited,,Modern Thread India Ltd,ARIHANTCAP,500282
Arihant Superstructures Limited,,Lords Chloro Alkali Ltd,ARIHANTSUP,500284
Arkade Developers Limited,,Spicejet Ltd,ARKADE,500285
Arman Financial Services Limited,,Morepen Laboratories Ltd,ARMANFIN,500288
Aro Granite Industries Limited,,MRF Ltd,AROGRANITE,500290
Arrow Greentech Limited,,HeidelbergCement India Ltd,ARROWGREEN,500292
Arshiya Limited,,NCC Ltd,ARSHIYA,500294
Artemis Medicare Services Limited,,Vedanta Ltd,ARTEMISMED,500295
Art Nirman Limited,,Nahar Spinning Mills Ltd,ARTNIRMAN,500296
Arvee Laboratories (India) Limited,,Naperol Investments Ltd,ARVEE,500298
Arvind Limited,,Grasim Industries Ltd,ARVIND,500300
Arvind Fashions Limited,,Piramal Enterprises Ltd,ARVINDFASN,500302
Arvind SmartSpaces Limited,,NIIT Ltd,ARVSMART,500304
Asahi India Glass Limited,,Jaykay Enterprises Ltd,ASAHIINDIA,500306
Asahi Songwon Colors Limited,,Nirlon Ltd,ASAHISONG,500307
Automotive Stampings and Assemblies Limited,,Oil and Natural Gas Corporation Ltd,ASAL,500312
Associated Alcohols & Breweries Ltd.,,Oil Country Tubular Ltd,ASALCBR,500313
Ashapura Minechem Limited,,Oriental Hotels Ltd,ASHAPURMIN,500314
Ashiana Housing Limited,,Oswal Agro Mills Ltd,ASHIANA,500317
Ashima Limited,,Indian Sucrose Ltd,ASHIMASYN,500319
Ashoka Buildcon Limited,,Panyam Cements & Mineral Industries Ltd,ASHOKA,500322
Ashoka Metcast Limited,,Reliance Industries Ltd,ASHOKAMET,500325
Ashok Leyland Limited,,Pil Italica Lifestyle Ltd,ASHOKLEY,500327
Asian Energy Services Limited,,Raymond Ltd,ASIANENE,500330
Asian Hotels (North) Limited,,Pidilite Industries Ltd,ASIANHOTNR,500331
Asian Paints Limited,,Pix Transmissions Ltd,ASIANPAINT,500333
Asian Granito India Limited,,Birla Corporation Ltd,ASIANTILES,500335
ASK Automotive Limited,,Surya Roshni Ltd,ASKAUTOLTD,500336
Bartronics India Limited,,Prime Securities Ltd,ASMS,500337
Aspinwall and Company Limited,,Prism Johnson Ltd,ASPINWALL,500338
Astec LifeSciences Limited,,Rain Industries Ltd,ASTEC,500339
Aster DM Healthcare Limited,,Prudential Sugar Corporation Ltd,ASTERDM,500342
Astral Limited,,AMJ Land Holdings Ltd,ASTRAL,500343
Astra Microwave Products Limited,,Punjab Communications Ltd,ASTRAMICRO,500346
AstraZeneca Pharma India Limited,,RSWM Ltd,ASTRAZEN,500350
Astron Paper & Board Mill Limited,,Rajshree Sugars & Chemicals Ltd,ASTRON,500354
Atal Realtech Limited,,Rallis India Ltd,ATALREAL,500355
Atam Valves Limited,,Shree Rama Newsprint Ltd,ATAM,500356
Adani Total Gas Limited,,Rapicut Carbides Ltd,ATGL,500360
Ather Energy Limited,,Welspun Specialty Solutions Ltd,ATHERENERG,500365
Allcargo Terminals Limited,,Rubfila International Ltd,ATL,500367
ATLANTAA LIMITED,,Patanjali Foods Ltd,ATLANTAA,500368
Atlas Cycles (Haryana) Limited,,Salora International Ltd,ATLASCYCLE,500370
Atul Limited,,Jindal Saw Ltd,ATUL,500378
Atul Auto Limited,,JK Lakshmi Cement Ltd,ATULAUTO,500380
AU Small Finance Bank Limited,,Shree Cement Ltd,AUBANK,500387
Aurionpro Solutions Limited,,Shree Krishna Paper Mills & Industries Ltd,AURIONPRO,500388
Aurobindo Pharma Limited,,Silverline Technologies Ltd,AUROPHARMA,500389
Aurum PropTech Limited,,Reliance Infrastructure Ltd,AURUM,500390
Ausom Enterprise Limited,,Tata Power Company Ltd,AUSOMENT,500400
Automotive Axles Limited,,SPML Infra Ltd,AUTOAXLES,500402
Autoline Industries Limited,,Sundram Fasteners Ltd,AUTOIND,500403
Avadh Sugar & Energy Limited,,Sunflag Iron & Steel Company Ltd,AVADHSUGAR,500404
Avalon Technologies Limited,,Supreme Petrochem Ltd,AVALON,500405
Avantel Limited,,Swaraj Engines Ltd,AVANTEL,500407
Avantel Limited-RE,,Tata Elxsi Ltd,AVANTEL-RE,500408
Avanti Feeds Limited,,ACC Ltd,AVANTIFEED,500410
AVG Logistics Limited,,Thermax Ltd,AVG,500411
Aditya Vision Limited,,Thirumalai Chemicals Ltd,AVL,500412
Avonmore Capital & Management Services Limited,,Thomas Cook (India) Ltd,AVONMORE,500413
AVRO INDIA LIMITED,,Timex Group India Ltd,AVROIND,500414
AVT Natural Products Limited,,Tokyo Plast International Ltd,AVTNPL,500418
Awfis Space Solutions Limited,,Torrent Pharmaceuticals Ltd,AWFIS,500420
Antony Waste Handling Cell Limited,,TPI India Ltd,AWHCL,500421
AWL Agri Business Limited,,Transchem Ltd,AWL,500422
Axis Bank Limited,,Ambuja Cements Ltd,AXISBANK,500425
AXISCADES Technologies Limited,,UTL Industries Ltd,AXISCADES,500426
Axita Cotton Limited,,Uniphos Enterprises Ltd,AXITA,500429
AYM Syntex Limited,,Vardhman Holdings Ltd,AYMSYNTEX,500439
Azad Engineering Limited,,Hindalco Industries Ltd,AZAD,500440
